Loading SMNIST ...
train torch.Size([10000, 784]), test torch.Size([2000, 784])
M0=240, M1=240, M2=240, K1=12, K2=12
[ep 00 t=  51.6s] tr a0=0.093 a1=0.099 a2=0.121 ac=0.121 | te a0=0.133 a1=0.091 a2=0.122 ac=0.121 | best=0.1215 | om0=0.603 om1=0.156 om2=0.0394
[ep 01 t= 268.0s] tr a0=0.421 a1=0.563 a2=0.517 ac=0.628 | te a0=0.390 a1=0.534 a2=0.480 ac=0.561 | best=0.5610 | om0=0.593 om1=0.158 om2=0.0401
[ep 02 t= 486.2s] tr a0=0.538 a1=0.583 a2=0.650 ac=0.676 | te a0=0.501 a1=0.541 a2=0.577 ac=0.622 | best=0.6215 | om0=0.592 om1=0.160 om2=0.0409
[ep 03 t= 702.8s] tr a0=0.565 a1=0.659 a2=0.690 ac=0.712 | te a0=0.522 a1=0.608 a2=0.618 ac=0.649 | best=0.6495 | om0=0.590 om1=0.162 om2=0.0416
[ep 04 t= 917.6s] tr a0=0.568 a1=0.690 a2=0.653 ac=0.750 | te a0=0.528 a1=0.615 a2=0.581 ac=0.676 | best=0.6765 | om0=0.590 om1=0.164 om2=0.0422
[ep 05 t=1131.9s] tr a0=0.606 a1=0.739 a2=0.716 ac=0.792 | te a0=0.567 a1=0.667 a2=0.683 ac=0.734 | best=0.7335 | om0=0.590 om1=0.166 om2=0.0429
[ep 06 t=1353.5s] tr a0=0.637 a1=0.775 a2=0.729 ac=0.825 | te a0=0.589 a1=0.704 a2=0.667 ac=0.765 | best=0.7655 | om0=0.590 om1=0.168 om2=0.0435
[ep 07 t=1572.6s] tr a0=0.618 a1=0.717 a2=0.776 ac=0.819 | te a0=0.561 a1=0.674 a2=0.712 ac=0.751 | best=0.7655 | om0=0.591 om1=0.170 om2=0.0441
[ep 08 t=1790.9s] tr a0=0.645 a1=0.755 a2=0.782 ac=0.831 | te a0=0.601 a1=0.703 a2=0.719 ac=0.786 | best=0.7865 | om0=0.591 om1=0.171 om2=0.0447
[ep 09 t=2013.8s] tr a0=0.665 a1=0.651 a2=0.718 ac=0.773 | te a0=0.624 a1=0.586 a2=0.648 ac=0.720 | best=0.7865 | om0=0.590 om1=0.172 om2=0.0453
[ep 10 t=2235.9s] tr a0=0.675 a1=0.745 a2=0.758 ac=0.837 | te a0=0.629 a1=0.708 a2=0.681 ac=0.788 | best=0.7885 | om0=0.590 om1=0.173 om2=0.0458
[ep 11 t=2458.5s] tr a0=0.670 a1=0.762 a2=0.710 ac=0.813 | te a0=0.605 a1=0.714 a2=0.615 ac=0.752 | best=0.7885 | om0=0.590 om1=0.175 om2=0.0465
[ep 12 t=2685.0s] tr a0=0.652 a1=0.756 a2=0.792 ac=0.815 | te a0=0.609 a1=0.680 a2=0.716 ac=0.749 | best=0.7885 | om0=0.590 om1=0.176 om2=0.0470
  LR decay #1: lr=0.0025
[ep 13 t=2908.4s] tr a0=0.698 a1=0.840 a2=0.815 ac=0.869 | te a0=0.654 a1=0.797 a2=0.737 ac=0.825 | best=0.8250 | om0=0.590 om1=0.177 om2=0.0473
[ep 14 t=3132.5s] tr a0=0.701 a1=0.878 a2=0.858 ac=0.900 | te a0=0.672 a1=0.827 a2=0.793 ac=0.855 | best=0.8545 | om0=0.590 om1=0.177 om2=0.0474
[ep 15 t=3352.6s] tr a0=0.706 a1=0.877 a2=0.837 ac=0.901 | te a0=0.673 a1=0.845 a2=0.762 ac=0.868 | best=0.8680 | om0=0.590 om1=0.177 om2=0.0475
[ep 16 t=3575.7s] tr a0=0.713 a1=0.842 a2=0.837 ac=0.882 | te a0=0.671 a1=0.777 a2=0.762 ac=0.830 | best=0.8680 | om0=0.590 om1=0.178 om2=0.0477
[ep 17 t=3793.8s] tr a0=0.706 a1=0.858 a2=0.843 ac=0.893 | te a0=0.669 a1=0.824 a2=0.790 ac=0.856 | best=0.8680 | om0=0.591 om1=0.178 om2=0.0478
[ep 18 t=4015.9s] tr a0=0.717 a1=0.852 a2=0.836 ac=0.888 | te a0=0.665 a1=0.800 a2=0.781 ac=0.835 | best=0.8680 | om0=0.590 om1=0.178 om2=0.0480
[ep 19 t=4236.3s] tr a0=0.721 a1=0.886 a2=0.884 ac=0.913 | te a0=0.681 a1=0.833 a2=0.832 ac=0.869 | best=0.8690 | om0=0.591 om1=0.179 om2=0.0481
[ep 20 t=4463.2s] tr a0=0.718 a1=0.771 a2=0.861 ac=0.862 | te a0=0.674 a1=0.707 a2=0.787 ac=0.799 | best=0.8690 | om0=0.591 om1=0.179 om2=0.0483
[ep 21 t=4690.6s] tr a0=0.729 a1=0.868 a2=0.885 ac=0.907 | te a0=0.680 a1=0.816 a2=0.820 ac=0.868 | best=0.8690 | om0=0.591 om1=0.180 om2=0.0485
[ep 22 t=4916.3s] tr a0=0.712 a1=0.834 a2=0.849 ac=0.892 | te a0=0.666 a1=0.790 a2=0.783 ac=0.845 | best=0.8690 | om0=0.591 om1=0.180 om2=0.0486
[ep 23 t=5144.0s] tr a0=0.726 a1=0.888 a2=0.847 ac=0.914 | te a0=0.685 a1=0.840 a2=0.774 ac=0.865 | best=0.8690 | om0=0.591 om1=0.180 om2=0.0488
[ep 24 t=5359.4s] tr a0=0.722 a1=0.898 a2=0.848 ac=0.910 | te a0=0.689 a1=0.844 a2=0.774 ac=0.855 | best=0.8690 | om0=0.591 om1=0.181 om2=0.0489
  LR decay #2: lr=0.00125
[ep 25 t=5585.1s] tr a0=0.736 a1=0.917 a2=0.903 ac=0.931 | te a0=0.708 a1=0.873 a2=0.834 ac=0.893 | best=0.8935 | om0=0.591 om1=0.181 om2=0.0490
[ep 26 t=5803.0s] tr a0=0.738 a1=0.910 a2=0.903 ac=0.931 | te a0=0.691 a1=0.857 a2=0.829 ac=0.883 | best=0.8935 | om0=0.591 om1=0.181 om2=0.0490
[ep 27 t=6030.0s] tr a0=0.746 a1=0.905 a2=0.902 ac=0.928 | te a0=0.704 a1=0.850 a2=0.822 ac=0.875 | best=0.8935 | om0=0.591 om1=0.181 om2=0.0490
[ep 28 t=6250.8s] tr a0=0.745 a1=0.900 a2=0.895 ac=0.923 | te a0=0.715 a1=0.847 a2=0.828 ac=0.882 | best=0.8935 | om0=0.591 om1=0.181 om2=0.0491
[ep 29 t=6465.0s] tr a0=0.750 a1=0.908 a2=0.921 ac=0.933 | te a0=0.705 a1=0.860 a2=0.857 ac=0.887 | best=0.8935 | om0=0.591 om1=0.181 om2=0.0491
[ep 30 t=6687.1s] tr a0=0.749 a1=0.908 a2=0.892 ac=0.929 | te a0=0.713 a1=0.874 a2=0.801 ac=0.886 | best=0.8935 | om0=0.591 om1=0.181 om2=0.0491
[ep 31 t=6909.7s] tr a0=0.743 a1=0.917 a2=0.921 ac=0.938 | te a0=0.703 a1=0.870 a2=0.857 ac=0.899 | best=0.8990 | om0=0.591 om1=0.181 om2=0.0492
[ep 32 t=7137.1s] tr a0=0.753 a1=0.909 a2=0.918 ac=0.941 | te a0=0.714 a1=0.863 a2=0.846 ac=0.893 | best=0.8990 | om0=0.591 om1=0.181 om2=0.0492
