epoch,wall,tr_a0,tr_a1,tr_a2,tr_ac,te_a0,te_a1,te_a2,te_ac,best_te_ac,om0,om1,om2
0,51.6,0.0928,0.0993,0.1210,0.1209,0.1325,0.0915,0.1225,0.1215,0.1215,0.6029,0.1563,0.0394
1,268.0,0.4213,0.5630,0.5167,0.6277,0.3900,0.5340,0.4805,0.5610,0.5610,0.5927,0.1576,0.0401
2,486.2,0.5383,0.5829,0.6503,0.6763,0.5010,0.5415,0.5770,0.6215,0.6215,0.5916,0.1600,0.0409
3,702.8,0.5645,0.6594,0.6897,0.7124,0.5225,0.6080,0.6175,0.6495,0.6495,0.5903,0.1618,0.0416
4,917.6,0.5679,0.6900,0.6535,0.7497,0.5280,0.6145,0.5810,0.6765,0.6765,0.5900,0.1640,0.0422
5,1131.9,0.6061,0.7390,0.7158,0.7920,0.5665,0.6670,0.6830,0.7335,0.7335,0.5896,0.1661,0.0429
6,1353.5,0.6370,0.7752,0.7286,0.8253,0.5890,0.7035,0.6670,0.7655,0.7655,0.5903,0.1678,0.0435
7,1572.6,0.6179,0.7172,0.7756,0.8189,0.5610,0.6745,0.7115,0.7515,0.7655,0.5913,0.1697,0.0441
8,1790.9,0.6453,0.7548,0.7816,0.8307,0.6005,0.7030,0.7190,0.7865,0.7865,0.5906,0.1711,0.0447
9,2013.8,0.6652,0.6514,0.7180,0.7734,0.6240,0.5855,0.6485,0.7195,0.7865,0.5903,0.1720,0.0453
10,2235.9,0.6748,0.7447,0.7578,0.8365,0.6295,0.7075,0.6815,0.7885,0.7885,0.5900,0.1733,0.0458
11,2458.5,0.6701,0.7624,0.7096,0.8133,0.6050,0.7140,0.6150,0.7525,0.7885,0.5900,0.1746,0.0465
12,2685.0,0.6525,0.7557,0.7918,0.8146,0.6085,0.6805,0.7155,0.7485,0.7885,0.5899,0.1762,0.0470
13,2908.4,0.6984,0.8403,0.8152,0.8690,0.6540,0.7970,0.7370,0.8250,0.8250,0.5900,0.1766,0.0473
14,3132.5,0.7005,0.8776,0.8583,0.9001,0.6720,0.8270,0.7930,0.8545,0.8545,0.5900,0.1770,0.0474
15,3352.6,0.7056,0.8772,0.8366,0.9013,0.6735,0.8445,0.7625,0.8680,0.8680,0.5904,0.1773,0.0475
16,3575.7,0.7131,0.8418,0.8369,0.8822,0.6715,0.7775,0.7625,0.8295,0.8680,0.5902,0.1777,0.0477
17,3793.8,0.7060,0.8583,0.8429,0.8932,0.6690,0.8235,0.7900,0.8555,0.8680,0.5906,0.1780,0.0478
18,4015.9,0.7172,0.8516,0.8361,0.8876,0.6655,0.8005,0.7815,0.8345,0.8680,0.5903,0.1784,0.0480
19,4236.3,0.7213,0.8857,0.8837,0.9131,0.6815,0.8325,0.8320,0.8690,0.8690,0.5907,0.1787,0.0481
20,4463.2,0.7182,0.7711,0.8606,0.8623,0.6740,0.7070,0.7875,0.7995,0.8690,0.5905,0.1791,0.0483
21,4690.6,0.7289,0.8680,0.8853,0.9074,0.6800,0.8160,0.8200,0.8675,0.8690,0.5906,0.1796,0.0485
22,4916.3,0.7118,0.8339,0.8492,0.8916,0.6665,0.7905,0.7830,0.8450,0.8690,0.5908,0.1799,0.0486
23,5144.0,0.7255,0.8884,0.8470,0.9141,0.6855,0.8400,0.7745,0.8650,0.8690,0.5907,0.1803,0.0488
24,5359.4,0.7224,0.8978,0.8481,0.9104,0.6890,0.8440,0.7745,0.8550,0.8690,0.5906,0.1807,0.0489
25,5585.1,0.7361,0.9169,0.9032,0.9315,0.7080,0.8725,0.8335,0.8935,0.8935,0.5906,0.1808,0.0490
26,5803.0,0.7384,0.9105,0.9034,0.9313,0.6905,0.8565,0.8285,0.8830,0.8935,0.5906,0.1809,0.0490
27,6030.0,0.7463,0.9053,0.9021,0.9281,0.7035,0.8500,0.8215,0.8755,0.8935,0.5906,0.1809,0.0490
28,6250.8,0.7453,0.9005,0.8949,0.9234,0.7150,0.8470,0.8275,0.8820,0.8935,0.5906,0.1811,0.0491
29,6465.0,0.7499,0.9083,0.9206,0.9332,0.7045,0.8595,0.8565,0.8875,0.8935,0.5905,0.1811,0.0491
30,6687.1,0.7486,0.9080,0.8925,0.9287,0.7130,0.8740,0.8010,0.8865,0.8935,0.5907,0.1812,0.0491
31,6909.7,0.7425,0.9168,0.9214,0.9376,0.7030,0.8695,0.8570,0.8990,0.8990,0.5907,0.1814,0.0492
32,7137.1,0.7531,0.9090,0.9179,0.9408,0.7140,0.8630,0.8455,0.8935,0.8990,0.5906,0.1815,0.0492
33,7364.5,0.7581,0.9212,0.9143,0.9408,0.7105,0.8670,0.8270,0.8865,0.8990,0.5905,0.1816,0.0493
34,7580.6,0.7509,0.9047,0.9215,0.9393,0.7090,0.8455,0.8535,0.8870,0.8990,0.5904,0.1817,0.0493
35,7808.9,0.7527,0.9264,0.9186,0.9395,0.7115,0.8730,0.8600,0.8985,0.8990,0.5900,0.1819,0.0493
