epoch,wall,tr_a0,tr_a1,tr_ac,te_a0,te_a1,te_ac,best_te_ac,om0,al0,om1,al1
0,57.4,0.0928,0.1185,0.1133,0.1325,0.1105,0.1060,0.1060,0.6029,0.9746,0.1563,0.9848
1,291.7,0.4213,0.5347,0.5350,0.3900,0.4940,0.4930,0.4930,0.5927,0.9770,0.1585,0.9845
2,557.9,0.5383,0.3822,0.3826,0.5010,0.3255,0.3255,0.4930,0.5916,0.9780,0.1610,0.9842
3,825.9,0.5645,0.6361,0.6366,0.5225,0.5910,0.5915,0.5915,0.5903,0.9784,0.1629,0.9840
4,1089.5,0.5679,0.6698,0.6705,0.5280,0.6100,0.6100,0.6100,0.5900,0.9786,0.1649,0.9837
5,1335.0,0.6061,0.6952,0.6955,0.5665,0.6505,0.6515,0.6515,0.5896,0.9788,0.1668,0.9836
6,1599.7,0.6370,0.6990,0.6995,0.5890,0.6460,0.6460,0.6515,0.5903,0.9791,0.1686,0.9834
7,1866.1,0.6179,0.7698,0.7706,0.5610,0.6955,0.6975,0.6975,0.5913,0.9792,0.1703,0.9833
8,2135.1,0.6453,0.7248,0.7249,0.6005,0.6900,0.6910,0.6975,0.5906,0.9794,0.1720,0.9832
9,2378.3,0.6652,0.7255,0.7257,0.6240,0.7095,0.7095,0.7095,0.5903,0.9795,0.1735,0.9831
10,2643.0,0.6748,0.7642,0.7643,0.6295,0.7050,0.7050,0.7095,0.5900,0.9796,0.1749,0.9830
11,2909.2,0.6701,0.7620,0.7623,0.6050,0.7070,0.7070,0.7095,0.5900,0.9796,0.1760,0.9829
12,3174.9,0.6525,0.8004,0.8006,0.6085,0.7385,0.7390,0.7390,0.5899,0.9797,0.1774,0.9828
13,3440.6,0.6690,0.6836,0.6842,0.6325,0.6450,0.6445,0.7390,0.5906,0.9797,0.1785,0.9828
14,3706.7,0.6729,0.8115,0.8116,0.6290,0.7640,0.7640,0.7640,0.5906,0.9797,0.1798,0.9827
15,3945.0,0.7068,0.8523,0.8524,0.6755,0.8015,0.8020,0.8020,0.5910,0.9798,0.1800,0.9826
16,4215.9,0.7150,0.8667,0.8669,0.6740,0.8125,0.8120,0.8120,0.5909,0.9798,0.1803,0.9826
17,4484.0,0.7098,0.8171,0.8171,0.6745,0.7590,0.7595,0.8120,0.5914,0.9799,0.1805,0.9826
18,4751.9,0.7211,0.8348,0.8349,0.6720,0.7825,0.7830,0.8120,0.5911,0.9800,0.1808,0.9826
19,4997.3,0.7247,0.8545,0.8548,0.6815,0.8140,0.8145,0.8145,0.5918,0.9800,0.1811,0.9826
20,5261.8,0.7189,0.8419,0.8420,0.6810,0.8040,0.8040,0.8145,0.5916,0.9801,0.1814,0.9825
21,5528.0,0.7286,0.8716,0.8719,0.6790,0.8230,0.8230,0.8230,0.5917,0.9801,0.1818,0.9825
22,5783.8,0.7125,0.8651,0.8654,0.6655,0.8020,0.8020,0.8230,0.5919,0.9801,0.1821,0.9825
23,5912.9,0.7273,0.8183,0.8188,0.6915,0.7620,0.7630,0.8230,0.5916,0.9802,0.1826,0.9825
24,6032.1,0.7244,0.8847,0.8848,0.6910,0.8290,0.8290,0.8290,0.5915,0.9802,0.1829,0.9825
25,6150.9,0.7248,0.8470,0.8471,0.6950,0.8090,0.8090,0.8290,0.5914,0.9802,0.1833,0.9825
