epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_a3_smooth,te_a4_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_a3_spike,te_a4_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,rate3,rate4,om0,om1,om2,om3,om4
0,23.3,0.0985,0.0920,0.0675,0.0810,0.1100,0.0740,0.1390,0.0940,0.0670,0.0810,0.1115,0.0720,0.0720,0.0222,0.0466,0.3623,0.9760,0.9994,0.6029,0.1563,0.0491,0.0196,0.0074
1,389.0,0.2230,0.4425,0.4755,0.1485,0.1000,0.4895,0.2225,0.4415,0.4750,0.1465,0.1000,0.4895,0.4895,0.2120,0.4412,0.5803,0.9003,0.9998,0.5989,0.1531,0.0513,0.0201,0.0074
2,759.8,0.3405,0.5210,0.4915,0.3800,0.0865,0.5560,0.3395,0.5200,0.4910,0.3810,0.0845,0.5585,0.5585,0.2607,0.4242,0.4994,0.7954,0.9994,0.5953,0.1498,0.0529,0.0212,0.0074
3,1129.8,0.3440,0.5490,0.5450,0.4935,0.0940,0.5910,0.3430,0.5480,0.5455,0.4955,0.0940,0.5925,0.5925,0.3035,0.4286,0.4469,0.6445,0.9960,0.5940,0.1474,0.0535,0.0221,0.0074
4,1497.4,0.3515,0.5755,0.5445,0.4770,0.1070,0.5815,0.3525,0.5760,0.5455,0.4775,0.1065,0.5830,0.5925,0.3348,0.4226,0.4092,0.5878,0.9895,0.5921,0.1462,0.0536,0.0229,0.0075
5,1864.4,0.3420,0.6020,0.6165,0.6370,0.1125,0.6695,0.3410,0.6005,0.6165,0.6365,0.1120,0.6690,0.6690,0.3556,0.4147,0.3887,0.5277,0.9795,0.5910,0.1451,0.0535,0.0232,0.0076
6,2229.5,0.3960,0.6085,0.6305,0.6240,0.1330,0.6750,0.3970,0.6075,0.6305,0.6235,0.1330,0.6745,0.6745,0.3552,0.4021,0.3838,0.5000,0.9465,0.5893,0.1442,0.0533,0.0235,0.0077
7,2600.6,0.3980,0.5910,0.6120,0.6015,0.1385,0.6435,0.3965,0.5905,0.6120,0.6015,0.1385,0.6445,0.6745,0.3722,0.4005,0.3725,0.4597,0.9145,0.5873,0.1433,0.0531,0.0237,0.0079
8,2969.0,0.4280,0.5520,0.6185,0.5835,0.2335,0.6820,0.4285,0.5525,0.6170,0.5835,0.2335,0.6820,0.6820,0.3781,0.3978,0.3723,0.4642,0.8899,0.5858,0.1425,0.0529,0.0238,0.0081
9,3341.0,0.3760,0.6245,0.6780,0.6880,0.2700,0.7140,0.3740,0.6240,0.6775,0.6875,0.2705,0.7125,0.7125,0.3794,0.3843,0.3409,0.3993,0.8353,0.5848,0.1417,0.0525,0.0237,0.0082
10,3715.6,0.3945,0.5970,0.6670,0.5835,0.2790,0.6725,0.3935,0.5980,0.6675,0.5835,0.2790,0.6715,0.7125,0.3845,0.3795,0.3483,0.4469,0.8434,0.5833,0.1409,0.0521,0.0235,0.0083
11,4088.3,0.4070,0.6160,0.7055,0.7075,0.3590,0.7205,0.4060,0.6165,0.7060,0.7075,0.3590,0.7200,0.7200,0.3751,0.3626,0.3178,0.3730,0.7713,0.5821,0.1403,0.0516,0.0233,0.0083
12,4459.1,0.4135,0.6010,0.7205,0.7265,0.4795,0.7545,0.4140,0.6010,0.7195,0.7260,0.4795,0.7540,0.7540,0.3754,0.3569,0.3120,0.3776,0.7537,0.5804,0.1395,0.0510,0.0230,0.0083
13,4827.7,0.4060,0.6175,0.7480,0.7535,0.4800,0.7730,0.4065,0.6170,0.7480,0.7535,0.4800,0.7715,0.7715,0.3769,0.3607,0.3190,0.3826,0.7437,0.5793,0.1385,0.0503,0.0227,0.0084
14,5195.6,0.3980,0.6290,0.7270,0.7505,0.4010,0.7555,0.3970,0.6290,0.7270,0.7510,0.4010,0.7570,0.7715,0.3800,0.3610,0.2987,0.3378,0.7051,0.5778,0.1378,0.0497,0.0225,0.0084
15,5566.9,0.4070,0.6305,0.7465,0.7800,0.6505,0.7720,0.4060,0.6305,0.7465,0.7810,0.6500,0.7720,0.7720,0.3771,0.3461,0.3008,0.3445,0.6713,0.5769,0.1370,0.0491,0.0222,0.0085
16,5936.0,0.4160,0.6155,0.7595,0.7685,0.5775,0.7840,0.4160,0.6165,0.7595,0.7685,0.5775,0.7840,0.7840,0.3815,0.3482,0.2962,0.3351,0.6397,0.5761,0.1363,0.0486,0.0219,0.0085
17,6309.2,0.4060,0.6410,0.7305,0.7470,0.5980,0.7620,0.4065,0.6420,0.7305,0.7475,0.5985,0.7615,0.7840,0.3848,0.3479,0.2916,0.3155,0.6133,0.5753,0.1355,0.0481,0.0217,0.0086
