epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_a3_smooth,te_a4_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_a3_spike,te_a4_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,rate3,rate4,om0,om1,om2,om3,om4
0,19.7,0.0880,0.1150,0.1085,0.1195,0.0875,0.1060,0.1060,0.1095,0.1070,0.1195,0.0865,0.1055,0.1055,0.0242,0.0581,0.3946,0.9560,0.9988,0.6143,0.1388,0.0500,0.0210,0.0075
1,303.8,0.2860,0.4465,0.4325,0.2020,0.0875,0.5095,0.2870,0.4475,0.4350,0.2015,0.0875,0.5100,0.5100,0.2206,0.4674,0.5715,0.8686,0.9989,0.6063,0.1363,0.0520,0.0217,0.0075
2,591.9,0.3015,0.5260,0.5210,0.3800,0.1835,0.5575,0.2990,0.5275,0.5195,0.3785,0.1810,0.5590,0.5590,0.2724,0.4329,0.4824,0.6986,0.9975,0.6022,0.1335,0.0528,0.0227,0.0075
3,881.8,0.3260,0.5575,0.5820,0.5030,0.1210,0.5695,0.3260,0.5590,0.5820,0.5025,0.1205,0.5690,0.5690,0.3126,0.4333,0.4449,0.6042,0.9766,0.6004,0.1310,0.0531,0.0233,0.0076
4,1170.4,0.3780,0.6135,0.6150,0.5085,0.1335,0.6250,0.3770,0.6155,0.6145,0.5075,0.1340,0.6250,0.6250,0.3650,0.4267,0.3893,0.4698,0.9309,0.5965,0.1289,0.0531,0.0238,0.0078
5,1458.6,0.2830,0.6210,0.6715,0.6555,0.2595,0.6740,0.2840,0.6220,0.6715,0.6540,0.2595,0.6750,0.6750,0.3867,0.4173,0.3808,0.4471,0.8898,0.5927,0.1271,0.0528,0.0239,0.0080
6,1754.9,0.3605,0.6460,0.5970,0.6335,0.1625,0.6785,0.3600,0.6465,0.5975,0.6340,0.1635,0.6780,0.6780,0.3861,0.4119,0.3931,0.4250,0.8468,0.5898,0.1258,0.0523,0.0238,0.0082
7,2043.2,0.3875,0.6070,0.5975,0.5575,0.1260,0.6210,0.3885,0.6080,0.5970,0.5570,0.1260,0.6210,0.6780,0.3899,0.4150,0.3866,0.4243,0.8184,0.5893,0.1244,0.0520,0.0237,0.0084
8,2332.5,0.3810,0.6045,0.6515,0.6745,0.4115,0.6930,0.3810,0.6050,0.6495,0.6750,0.4110,0.6925,0.6925,0.3878,0.3971,0.3468,0.3818,0.7758,0.5892,0.1232,0.0518,0.0234,0.0086
9,2623.6,0.3405,0.6335,0.6655,0.6615,0.4300,0.7005,0.3395,0.6330,0.6655,0.6615,0.4305,0.7015,0.7015,0.3893,0.3844,0.3192,0.3520,0.7321,0.5890,0.1222,0.0514,0.0231,0.0087
10,2914.4,0.3520,0.6565,0.6935,0.5830,0.4360,0.6895,0.3545,0.6570,0.6940,0.5835,0.4355,0.6890,0.7015,0.4107,0.4022,0.3746,0.3934,0.7183,0.5882,0.1213,0.0511,0.0228,0.0089
11,3204.5,0.3605,0.6455,0.7090,0.7145,0.6000,0.7255,0.3595,0.6460,0.7085,0.7145,0.6000,0.7255,0.7255,0.3990,0.3749,0.3149,0.3238,0.6532,0.5871,0.1206,0.0507,0.0225,0.0089
