epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_a3_smooth,te_a4_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_a3_spike,te_a4_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,rate3,rate4,om0,om1,om2,om3,om4
0,33.6,0.0805,0.0895,0.0915,0.0870,0.1035,0.0825,0.1050,0.0895,0.0885,0.0895,0.1015,0.0780,0.0780,0.0235,0.0476,0.3377,0.9546,0.9993,0.5995,0.1580,0.0503,0.0217,0.0080
1,730.0,0.3865,0.5465,0.6430,0.6940,0.4030,0.6440,0.3910,0.5490,0.6420,0.6955,0.4025,0.6455,0.6455,0.1119,0.0958,0.1851,0.5967,0.9158,0.6018,0.1581,0.0504,0.0218,0.0080
2,1452.0,0.4125,0.5965,0.7155,0.7855,0.7435,0.7680,0.4105,0.5975,0.7165,0.7855,0.7430,0.7690,0.7690,0.1105,0.1111,0.1352,0.2101,0.3693,0.6017,0.1582,0.0503,0.0219,0.0083
3,2181.2,0.4150,0.6240,0.7370,0.8235,0.8230,0.8280,0.4140,0.6225,0.7360,0.8240,0.8230,0.8285,0.8285,0.1120,0.1132,0.0836,0.1021,0.1712,0.6015,0.1581,0.0503,0.0220,0.0086
4,2918.5,0.4240,0.6210,0.7655,0.8250,0.8180,0.8275,0.4240,0.6190,0.7645,0.8250,0.8185,0.8275,0.8285,0.1129,0.1149,0.0784,0.0968,0.1810,0.6014,0.1578,0.0503,0.0220,0.0088
5,3693.1,0.4315,0.6410,0.7765,0.7960,0.7780,0.8090,0.4295,0.6410,0.7745,0.7955,0.7785,0.8085,0.8285,0.1132,0.1160,0.0821,0.0807,0.1516,0.6013,0.1577,0.0503,0.0221,0.0090
6,4461.3,0.4260,0.6300,0.7645,0.8190,0.8055,0.8250,0.4245,0.6320,0.7660,0.8190,0.8065,0.8245,0.8285,0.1139,0.1144,0.0791,0.0604,0.1218,0.6011,0.1576,0.0503,0.0222,0.0091
7,5216.6,0.4380,0.6255,0.7785,0.8265,0.8210,0.8400,0.4370,0.6265,0.7785,0.8255,0.8210,0.8395,0.8395,0.1144,0.1168,0.0934,0.0627,0.1171,0.6010,0.1575,0.0502,0.0223,0.0093
8,6004.1,0.4385,0.6425,0.7820,0.8200,0.7930,0.8250,0.4395,0.6420,0.7815,0.8200,0.7930,0.8230,0.8395,0.1150,0.1163,0.0975,0.0511,0.0987,0.6009,0.1574,0.0502,0.0224,0.0094
9,6851.1,0.4400,0.6410,0.7875,0.8330,0.8295,0.8380,0.4400,0.6420,0.7880,0.8340,0.8295,0.8380,0.8395,0.1157,0.1169,0.1061,0.0590,0.1185,0.6008,0.1574,0.0502,0.0224,0.0095
10,7641.1,0.4325,0.6485,0.7780,0.8180,0.7955,0.8210,0.4335,0.6480,0.7780,0.8175,0.7960,0.8220,0.8395,0.1159,0.1167,0.1088,0.0566,0.1144,0.6007,0.1574,0.0502,0.0225,0.0096
11,8587.6,0.4305,0.6600,0.7910,0.8240,0.8275,0.8380,0.4310,0.6600,0.7910,0.8250,0.8275,0.8375,0.8395,0.1157,0.1159,0.1065,0.0439,0.0870,0.6007,0.1573,0.0502,0.0225,0.0096
12,9653.9,0.4355,0.6500,0.7985,0.8370,0.8360,0.8480,0.4340,0.6505,0.7985,0.8370,0.8360,0.8485,0.8485,0.1159,0.1162,0.1106,0.0474,0.0826,0.6006,0.1573,0.0502,0.0225,0.0096
13,10484.3,0.4355,0.6455,0.7955,0.8230,0.8255,0.8330,0.4360,0.6465,0.7960,0.8230,0.8255,0.8335,0.8485,0.1161,0.1152,0.1124,0.0447,0.0770,0.6007,0.1573,0.0501,0.0225,0.0097
