epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_a3_smooth,te_a4_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_a3_spike,te_a4_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,rate3,rate4,om0,om1,om2,om3,om4
0,31.6,0.0810,0.0855,0.0855,0.0875,0.0970,0.0800,0.1090,0.0865,0.0855,0.0870,0.0970,0.0795,0.0795,0.0235,0.0476,0.3377,0.9546,0.9993,0.5995,0.1580,0.0503,0.0217,0.0080
1,1004.6,0.3850,0.5390,0.6480,0.7070,0.4150,0.6455,0.3870,0.5390,0.6490,0.7070,0.4135,0.6455,0.6455,0.1117,0.0949,0.1904,0.6012,0.9030,0.6019,0.1582,0.0504,0.0218,0.0080
2,2045.6,0.4130,0.5940,0.7285,0.7920,0.7445,0.7785,0.4130,0.5930,0.7285,0.7920,0.7435,0.7780,0.7780,0.1106,0.1119,0.1145,0.2264,0.4025,0.6017,0.1581,0.0504,0.0219,0.0083
3,2748.1,0.4090,0.6135,0.7435,0.8220,0.8205,0.8245,0.4125,0.6145,0.7445,0.8215,0.8210,0.8245,0.8245,0.1121,0.1139,0.0742,0.1303,0.2348,0.6015,0.1580,0.0504,0.0219,0.0085
4,3664.3,0.4185,0.6285,0.7625,0.8305,0.8195,0.8290,0.4195,0.6290,0.7610,0.8300,0.8195,0.8280,0.8280,0.1130,0.1135,0.0669,0.1106,0.1657,0.6014,0.1579,0.0504,0.0219,0.0087
5,4701.0,0.4255,0.6435,0.7740,0.8375,0.8240,0.8340,0.4245,0.6450,0.7760,0.8365,0.8240,0.8340,0.8340,0.1135,0.1149,0.0750,0.1106,0.1710,0.6013,0.1577,0.0504,0.0219,0.0089
6,5857.9,0.4240,0.6390,0.7410,0.8225,0.8325,0.8365,0.4235,0.6375,0.7400,0.8225,0.8330,0.8365,0.8365,0.1141,0.1134,0.0797,0.0979,0.1418,0.6012,0.1575,0.0504,0.0220,0.0091
7,7267.4,0.4345,0.6430,0.7280,0.8310,0.8330,0.8380,0.4370,0.6420,0.7295,0.8305,0.8335,0.8385,0.8385,0.1143,0.1161,0.0930,0.1124,0.1670,0.6012,0.1574,0.0504,0.0221,0.0092
8,8823.8,0.4285,0.6465,0.7380,0.8205,0.8140,0.8380,0.4290,0.6485,0.7350,0.8195,0.8145,0.8375,0.8385,0.1146,0.1167,0.1026,0.0932,0.1240,0.6011,0.1573,0.0504,0.0222,0.0094
9,10302.3,0.4330,0.6435,0.7440,0.8260,0.8250,0.8315,0.4315,0.6435,0.7445,0.8245,0.8250,0.8315,0.8385,0.1154,0.1168,0.1077,0.0967,0.1454,0.6011,0.1572,0.0506,0.0222,0.0095
10,10972.2,0.4310,0.6460,0.7375,0.8185,0.8200,0.8260,0.4300,0.6455,0.7365,0.8175,0.8200,0.8260,0.8385,0.1155,0.1161,0.1128,0.0941,0.1203,0.6010,0.1571,0.0507,0.0222,0.0096
11,11638.9,0.4315,0.6505,0.7705,0.8295,0.8325,0.8355,0.4335,0.6505,0.7705,0.8285,0.8325,0.8360,0.8385,0.1152,0.1165,0.1177,0.0811,0.0917,0.6010,0.1570,0.0506,0.0222,0.0096
12,12331.7,0.4365,0.6580,0.7675,0.8210,0.8360,0.8430,0.4365,0.6575,0.7695,0.8210,0.8360,0.8435,0.8435,0.1153,0.1147,0.1174,0.0802,0.0891,0.6009,0.1569,0.0506,0.0222,0.0096
13,13690.7,0.4320,0.6610,0.7925,0.8335,0.8570,0.8555,0.4320,0.6620,0.7930,0.8335,0.8570,0.8570,0.8570,0.1157,0.1152,0.1210,0.0812,0.0782,0.6009,0.1569,0.0506,0.0222,0.0097
14,14886.9,0.4395,0.6605,0.7730,0.8295,0.8480,0.8480,0.4400,0.6615,0.7725,0.8280,0.8480,0.8480,0.8570,0.1153,0.1150,0.1227,0.0837,0.0805,0.6008,0.1569,0.0506,0.0222,0.0097
15,16023.8,0.4375,0.6660,0.7970,0.8405,0.8630,0.8620,0.4385,0.6645,0.7955,0.8405,0.8635,0.8630,0.8630,0.1159,0.1164,0.1285,0.0970,0.0821,0.6008,0.1569,0.0506,0.0222,0.0097
16,16930.8,0.4475,0.6560,0.7750,0.8280,0.8340,0.8360,0.4450,0.6550,0.7750,0.8275,0.8340,0.8355,0.8630,0.1155,0.1148,0.1237,0.0993,0.0695,0.6008,0.1569,0.0506,0.0222,0.0097
17,17599.3,0.4535,0.6785,0.7810,0.8255,0.8460,0.8410,0.4545,0.6790,0.7825,0.8250,0.8460,0.8410,0.8630,0.1166,0.1155,0.1241,0.1044,0.0666,0.6007,0.1569,0.0507,0.0222,0.0098
18,18566.6,0.4490,0.6750,0.7705,0.8230,0.8445,0.8475,0.4445,0.6745,0.7710,0.8230,0.8440,0.8475,0.8630,0.1160,0.1157,0.1252,0.1152,0.0675,0.6007,0.1569,0.0507,0.0222,0.0098
19,19383.2,0.4490,0.6700,0.7785,0.8295,0.8425,0.8445,0.4500,0.6705,0.7805,0.8295,0.8420,0.8455,0.8630,0.1155,0.1153,0.1229,0.1085,0.0578,0.6007,0.1568,0.0507,0.0222,0.0098
20,20269.7,0.4430,0.6775,0.7850,0.8340,0.8550,0.8560,0.4430,0.6765,0.7855,0.8340,0.8550,0.8565,0.8630,0.1153,0.1147,0.1209,0.1088,0.0494,0.6007,0.1568,0.0507,0.0222,0.0098
21,21195.0,0.4465,0.6710,0.7635,0.8235,0.8485,0.8410,0.4460,0.6720,0.7640,0.8230,0.8480,0.8425,0.8630,0.1151,0.1142,0.1192,0.1112,0.0484,0.6007,0.1568,0.0506,0.0222,0.0098
22,21867.4,0.4500,0.6735,0.7775,0.8415,0.8490,0.8495,0.4515,0.6710,0.7770,0.8405,0.8485,0.8495,0.8630,0.1156,0.1156,0.1198,0.1053,0.0470,0.6007,0.1568,0.0506,0.0222,0.0098
23,23113.6,0.4535,0.6725,0.7680,0.8265,0.8500,0.8495,0.4525,0.6720,0.7680,0.8255,0.8510,0.8500,0.8630,0.1151,0.1148,0.1203,0.1041,0.0467,0.6007,0.1568,0.0506,0.0222,0.0098
