epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2
0,34.4,0.1280,0.0830,0.0720,0.0860,0.1360,0.0825,0.0720,0.0865,0.0865,0.0262,0.3132,0.9325,0.6029,0.1563,0.0394
1,424.1,0.3110,0.3390,0.3165,0.3380,0.3120,0.3380,0.3155,0.3375,0.3375,0.3094,0.5471,0.7549,0.5813,0.1581,0.0411
2,812.2,0.3150,0.3930,0.3440,0.4200,0.3145,0.3925,0.3430,0.4190,0.4190,0.3179,0.4583,0.5976,0.5620,0.1581,0.0437
3,1206.3,0.3685,0.4300,0.4055,0.4360,0.3660,0.4305,0.4050,0.4355,0.4355,0.3663,0.4526,0.5467,0.5466,0.1573,0.0451
4,1597.9,0.4130,0.5135,0.4910,0.5370,0.4140,0.5135,0.4905,0.5370,0.5370,0.3596,0.4212,0.4805,0.5376,0.1562,0.0459
5,1990.9,0.3775,0.5020,0.4985,0.5180,0.3780,0.5035,0.4985,0.5180,0.5370,0.3658,0.4122,0.4575,0.5304,0.1546,0.0464
6,2385.4,0.4420,0.5815,0.5655,0.5995,0.4430,0.5825,0.5655,0.6005,0.6005,0.3533,0.4027,0.4431,0.5234,0.1527,0.0464
7,2787.4,0.4645,0.5050,0.5160,0.5420,0.4640,0.5050,0.5160,0.5420,0.6005,0.3784,0.3865,0.4113,0.5175,0.1510,0.0463
8,3179.6,0.4945,0.5280,0.5525,0.5755,0.4935,0.5290,0.5525,0.5755,0.6005,0.3732,0.4026,0.4400,0.5134,0.1494,0.0460
9,3572.0,0.4705,0.5615,0.5775,0.5815,0.4720,0.5615,0.5775,0.5820,0.6005,0.3537,0.3533,0.3579,0.5080,0.1479,0.0458
10,3965.0,0.5030,0.5690,0.5185,0.5845,0.5025,0.5680,0.5195,0.5845,0.6005,0.3623,0.3556,0.3847,0.5032,0.1466,0.0456
11,4357.4,0.4695,0.5485,0.5765,0.5605,0.4700,0.5480,0.5770,0.5600,0.6005,0.3455,0.3451,0.3571,0.5008,0.1454,0.0452
12,4747.4,0.4555,0.5285,0.5930,0.5725,0.4560,0.5295,0.5930,0.5725,0.6005,0.3375,0.3529,0.3482,0.4985,0.1437,0.0448
