epoch,wall,tr_a0,tr_a1,tr_a2,tr_ac,te_a0,te_a1,te_a2,te_ac,best_te_ac,om0,om1,om2
0,13.4,0.0423,0.0330,0.0400,0.0400,0.0450,0.0330,0.0400,0.0400,0.0400,0.7957,0.2077,0.0804
1,77.3,0.3212,0.1968,0.0970,0.2165,0.2880,0.1960,0.1050,0.2200,0.2200,0.7885,0.2074,0.0805
2,141.4,0.5168,0.3608,0.2985,0.4435,0.4920,0.3800,0.3290,0.4570,0.4570,0.7786,0.2101,0.0815
3,206.0,0.6777,0.5025,0.3962,0.5897,0.5900,0.4530,0.3910,0.5260,0.5260,0.7756,0.2119,0.0824
4,272.1,0.7817,0.6268,0.4505,0.6773,0.5670,0.5020,0.4420,0.5640,0.5640,0.7738,0.2136,0.0832
5,323.1,0.8780,0.7140,0.5530,0.7502,0.5770,0.5780,0.5060,0.6100,0.6100,0.7733,0.2150,0.0840
6,381.1,0.9255,0.7420,0.6158,0.8065,0.5660,0.5260,0.4730,0.5950,0.6100,0.7717,0.2163,0.0848
7,450.2,0.9643,0.8320,0.5925,0.8715,0.5770,0.6010,0.4420,0.6160,0.6160,0.7716,0.2179,0.0855
8,516.4,0.9835,0.8143,0.6785,0.8665,0.5580,0.5960,0.5350,0.6330,0.6330,0.7706,0.2188,0.0862
9,586.6,0.9878,0.8375,0.7037,0.8955,0.5740,0.5720,0.5420,0.6220,0.6330,0.7702,0.2196,0.0868
10,656.2,0.9960,0.8330,0.7485,0.8880,0.5760,0.5630,0.5550,0.6150,0.6330,0.7700,0.2204,0.0875
11,721.5,0.9972,0.8915,0.8315,0.9405,0.5860,0.6320,0.6270,0.6780,0.6780,0.7699,0.2206,0.0876
12,792.2,0.9985,0.9277,0.8020,0.9520,0.5770,0.6190,0.5780,0.6350,0.6780,0.7698,0.2207,0.0878
13,861.5,0.9988,0.9243,0.8758,0.9630,0.5780,0.5760,0.6030,0.6290,0.6780,0.7697,0.2209,0.0880
14,928.8,0.9988,0.9430,0.8472,0.9633,0.5830,0.6040,0.5950,0.6310,0.6780,0.7696,0.2210,0.0882
15,997.0,0.9992,0.9437,0.9230,0.9760,0.5800,0.6310,0.6660,0.6810,0.6810,0.7695,0.2211,0.0883
16,1071.6,0.9995,0.9225,0.8450,0.9497,0.5810,0.5890,0.5790,0.6130,0.6810,0.7693,0.2212,0.0884
17,1112.6,0.9995,0.9393,0.9055,0.9712,0.5820,0.6140,0.6330,0.6690,0.6810,0.7692,0.2212,0.0885
18,1174.1,0.9995,0.9387,0.8850,0.9675,0.5790,0.6030,0.5860,0.6340,0.6810,0.7691,0.2215,0.0887
19,1243.4,1.0000,0.9748,0.9457,0.9910,0.5770,0.6360,0.6520,0.6790,0.6810,0.7692,0.2215,0.0887
20,1311.4,1.0000,0.9645,0.9343,0.9838,0.5780,0.6440,0.6370,0.6720,0.6810,0.7691,0.2215,0.0887
21,1381.8,1.0000,0.9828,0.9333,0.9910,0.5740,0.6350,0.6320,0.6680,0.6810,0.7690,0.2215,0.0888
22,1452.9,1.0000,0.9812,0.9710,0.9975,0.5740,0.6550,0.6540,0.6840,0.6840,0.7690,0.2215,0.0888
23,1521.8,1.0000,0.9830,0.9557,0.9952,0.5760,0.6270,0.6370,0.6680,0.6840,0.7689,0.2215,0.0888
24,1587.6,1.0000,0.9870,0.9683,0.9950,0.5760,0.6520,0.6480,0.6710,0.6840,0.7689,0.2215,0.0888
25,1664.1,1.0000,0.9790,0.9510,0.9935,0.5740,0.6370,0.6170,0.6570,0.6840,0.7688,0.2215,0.0888
