epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2
0,2.1,0.0370,0.0400,0.0510,0.0360,0.0440,0.0420,0.0520,0.0370,0.0370,0.0578,0.1928,0.6638,0.8018,0.1992,0.0752
1,58.4,0.4030,0.4120,0.3640,0.4320,0.3880,0.4090,0.3570,0.4310,0.4310,0.0866,0.1412,0.3288,0.8016,0.1994,0.0753
2,118.4,0.4830,0.6920,0.6270,0.6720,0.4610,0.6910,0.6290,0.6710,0.6710,0.1110,0.0771,0.0791,0.8012,0.1995,0.0753
3,179.3,0.5220,0.7260,0.7060,0.7350,0.5110,0.7290,0.7060,0.7340,0.7340,0.1109,0.0829,0.0701,0.8006,0.1995,0.0753
4,240.5,0.5390,0.7000,0.6850,0.7070,0.5250,0.7010,0.6850,0.7050,0.7340,0.1107,0.0971,0.0638,0.7999,0.1992,0.0755
5,300.8,0.5400,0.7040,0.6970,0.7010,0.5370,0.7060,0.6960,0.6990,0.7340,0.1106,0.1066,0.0679,0.7993,0.1989,0.0756
6,360.2,0.5480,0.7200,0.7140,0.7120,0.5480,0.7150,0.7120,0.7140,0.7340,0.1109,0.1077,0.0679,0.7987,0.1986,0.0758
7,419.9,0.5510,0.7030,0.7090,0.7150,0.5390,0.7020,0.7050,0.7170,0.7340,0.1107,0.1102,0.0728,0.7981,0.1983,0.0759
8,478.8,0.5840,0.7230,0.7260,0.7260,0.5810,0.7230,0.7230,0.7230,0.7340,0.1112,0.1126,0.0836,0.7976,0.1980,0.0761
9,540.4,0.5470,0.7140,0.7140,0.7270,0.5350,0.7150,0.7200,0.7210,0.7340,0.1113,0.1091,0.0845,0.7971,0.1977,0.0762
10,601.3,0.5900,0.6990,0.7060,0.7130,0.5900,0.7010,0.7040,0.7130,0.7340,0.1120,0.1110,0.0906,0.7967,0.1974,0.0763
11,662.4,0.5780,0.7140,0.7300,0.7320,0.5780,0.7080,0.7300,0.7310,0.7340,0.1114,0.1116,0.0931,0.7965,0.1973,0.0764
12,725.0,0.5750,0.7290,0.7210,0.7280,0.5730,0.7290,0.7220,0.7240,0.7340,0.1112,0.1116,0.0953,0.7962,0.1971,0.0764
13,787.3,0.5790,0.7030,0.7140,0.7240,0.5740,0.7010,0.7100,0.7230,0.7340,0.1113,0.1100,0.0967,0.7960,0.1970,0.0764
14,848.6,0.5880,0.7190,0.7420,0.7450,0.5900,0.7200,0.7410,0.7440,0.7440,0.1110,0.1110,0.0981,0.7958,0.1969,0.0764
15,920.4,0.6030,0.7280,0.7400,0.7470,0.6040,0.7250,0.7440,0.7490,0.7490,0.1107,0.1113,0.1002,0.7956,0.1967,0.0764
16,1022.3,0.6020,0.7540,0.7420,0.7670,0.6000,0.7560,0.7380,0.7670,0.7670,0.1112,0.1129,0.1043,0.7954,0.1966,0.0764
17,1086.0,0.6050,0.7260,0.7330,0.7460,0.6000,0.7280,0.7310,0.7450,0.7670,0.1110,0.1131,0.1070,0.7953,0.1964,0.0764
18,1173.9,0.6040,0.7260,0.7190,0.7340,0.5980,0.7300,0.7200,0.7330,0.7670,0.1115,0.1122,0.1042,0.7951,0.1963,0.0764
19,1290.2,0.6060,0.7310,0.7220,0.7320,0.6020,0.7280,0.7250,0.7300,0.7670,0.1105,0.1116,0.1049,0.7950,0.1962,0.0764
20,1373.3,0.6080,0.7290,0.7260,0.7320,0.6020,0.7320,0.7300,0.7320,0.7670,0.1104,0.1117,0.1056,0.7950,0.1962,0.0764
21,1444.4,0.5940,0.7170,0.7400,0.7360,0.5960,0.7170,0.7320,0.7390,0.7670,0.1104,0.1114,0.1064,0.7949,0.1961,0.0764
22,1608.6,0.6050,0.7220,0.7220,0.7250,0.6050,0.7210,0.7240,0.7220,0.7670,0.1103,0.1107,0.1059,0.7948,0.1960,0.0764
23,1673.3,0.6100,0.7230,0.7340,0.7350,0.6010,0.7200,0.7350,0.7400,0.7670,0.1106,0.1117,0.1073,0.7947,0.1960,0.0764
24,1777.6,0.6030,0.7220,0.7160,0.7250,0.6080,0.7180,0.7220,0.7260,0.7670,0.1103,0.1109,0.1064,0.7946,0.1959,0.0764
25,1848.3,0.6060,0.7330,0.7240,0.7290,0.6140,0.7300,0.7210,0.7330,0.7670,0.1102,0.1103,0.1055,0.7945,0.1958,0.0764
