epoch,wall,tr_ac_smooth,tr_ac_spike,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2
0,8.4,0.0457,0.0485,0.0440,0.0500,0.0350,0.0470,0.0410,0.0490,0.0350,0.0510,0.0510,0.0572,0.1955,0.7008,0.7957,0.2077,0.0804
1,45.0,0.2555,0.2585,0.1860,0.1590,0.2510,0.2270,0.1820,0.1540,0.2530,0.2270,0.2270,0.1420,0.4344,0.7715,0.7936,0.2068,0.0809
2,82.6,0.4557,0.4565,0.2510,0.3030,0.3500,0.3470,0.2500,0.3010,0.3570,0.3460,0.3460,0.1840,0.4154,0.5964,0.7865,0.2027,0.0816
3,124.2,0.5235,0.5230,0.2900,0.3940,0.3620,0.4130,0.2890,0.3880,0.3590,0.4120,0.4120,0.1869,0.4071,0.4890,0.7815,0.1979,0.0822
4,177.7,0.6352,0.6340,0.2890,0.4110,0.5220,0.5020,0.2920,0.4110,0.5220,0.5020,0.5020,0.1986,0.3904,0.3867,0.7780,0.1933,0.0826
5,240.0,0.6907,0.6893,0.2820,0.4040,0.4640,0.4470,0.2870,0.4060,0.4670,0.4430,0.5020,0.2105,0.3921,0.3719,0.7752,0.1891,0.0827
6,287.1,0.7127,0.7155,0.3210,0.4810,0.4830,0.5320,0.3200,0.4780,0.4820,0.5330,0.5330,0.2249,0.3969,0.3749,0.7726,0.1849,0.0827
7,331.4,0.7542,0.7538,0.3160,0.4620,0.5210,0.5280,0.3170,0.4610,0.5180,0.5240,0.5330,0.2415,0.3945,0.3419,0.7714,0.1818,0.0831
8,398.1,0.7712,0.7718,0.3010,0.4590,0.4160,0.5030,0.3050,0.4570,0.4150,0.5050,0.5330,0.2492,0.3765,0.3276,0.7706,0.1789,0.0831
9,459.7,0.7390,0.7372,0.3040,0.4330,0.4860,0.4740,0.2990,0.4340,0.4880,0.4750,0.5330,0.2709,0.3677,0.2997,0.7688,0.1765,0.0834
10,527.0,0.8037,0.8040,0.2930,0.4710,0.5440,0.5230,0.3030,0.4670,0.5440,0.5230,0.5330,0.2816,0.3587,0.3104,0.7665,0.1745,0.0836
11,601.9,0.8373,0.8380,0.2950,0.4970,0.5850,0.5600,0.2920,0.4980,0.5860,0.5570,0.5570,0.2729,0.3299,0.2599,0.7660,0.1733,0.0837
12,664.0,0.8420,0.8417,0.3170,0.4950,0.5640,0.5480,0.3160,0.4950,0.5650,0.5460,0.5570,0.2747,0.3288,0.2638,0.7652,0.1719,0.0837
13,743.4,0.8415,0.8423,0.3090,0.5020,0.5710,0.5530,0.3040,0.5010,0.5690,0.5540,0.5570,0.2782,0.3244,0.2518,0.7644,0.1706,0.0836
14,798.4,0.8480,0.8480,0.3080,0.5060,0.5450,0.5280,0.3060,0.5060,0.5450,0.5270,0.5570,0.2835,0.3217,0.2445,0.7634,0.1694,0.0835
15,868.0,0.8552,0.8545,0.2950,0.5090,0.5680,0.5470,0.2890,0.5100,0.5650,0.5490,0.5570,0.2823,0.3102,0.2334,0.7628,0.1683,0.0835
16,947.8,0.8560,0.8562,0.3170,0.5310,0.5960,0.5820,0.3140,0.5290,0.5960,0.5810,0.5810,0.2873,0.3132,0.2409,0.7620,0.1671,0.0835
17,1023.0,0.8478,0.8475,0.3010,0.5130,0.5640,0.5450,0.3020,0.5120,0.5650,0.5440,0.5810,0.2906,0.3035,0.2299,0.7613,0.1663,0.0834
18,1103.8,0.8868,0.8850,0.3140,0.5140,0.5880,0.5630,0.3120,0.5130,0.5880,0.5630,0.5810,0.2935,0.3002,0.2293,0.7605,0.1652,0.0834
19,1175.7,0.8900,0.8888,0.3030,0.5290,0.5910,0.5720,0.3010,0.5320,0.5890,0.5710,0.5810,0.2846,0.2853,0.2128,0.7603,0.1648,0.0834
20,1244.4,0.8902,0.8898,0.3130,0.5300,0.5870,0.5750,0.3140,0.5310,0.5870,0.5750,0.5810,0.2838,0.2822,0.2156,0.7600,0.1642,0.0834
21,1290.7,0.8948,0.8942,0.3170,0.5430,0.6020,0.5840,0.3200,0.5400,0.5980,0.5830,0.5830,0.2822,0.2806,0.2183,0.7595,0.1636,0.0833
22,1349.0,0.9025,0.9028,0.3130,0.5490,0.6050,0.6050,0.3180,0.5480,0.6060,0.6060,0.6060,0.2810,0.2788,0.2138,0.7593,0.1630,0.0833
23,1387.0,0.8995,0.8985,0.3170,0.5290,0.5910,0.5780,0.3130,0.5280,0.5900,0.5780,0.6060,0.2813,0.2796,0.2096,0.7590,0.1625,0.0832
24,1440.2,0.9015,0.9015,0.3230,0.5320,0.5860,0.5810,0.3260,0.5330,0.5850,0.5820,0.6060,0.2796,0.2733,0.2124,0.7588,0.1619,0.0832
25,1474.3,0.8998,0.8998,0.3200,0.5370,0.5900,0.5690,0.3200,0.5380,0.5870,0.5710,0.6060,0.2803,0.2744,0.2112,0.7585,0.1613,0.0832
